train_stop_id,trip_id,stop_sequence,stop_id,arrival_time,departure_time,no_exit,no_entry,border_control,stop_name,stop_country,stop_timezone,stop_lat,stop_lon,location_type,stop_name_romanized,stop_name_alt,stop_cityname,stop_cityname_romanized,stop_cityname_alt,stop_tariffname,stop_charge,stop_uic_code,stop_code,stop_region,route_id,agency_id,trip_origin,origin_departure_time,trip_headsign,destination_arrival_time,trip_short_name,direction_id,version,countries,is_active,irregularities,service_id,classes,connections,catering,plugs,wheelchair_accessible,bikes_allowed,car_transport,duration,distance,emissions_co2e,co2_per_km,via,,agency_id_route,agency_1,agency_2,agency_3,route_short_name,route_long_name,route_desc,route_type,version_route,is_active_route,origin_trip_0,destination_trip_0,distance_route,emissions,classes_route,countries_route,source,source_interrail,picture,emissions_relation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATC IR 11500:0,ATC IR 11500,0,Arad,,1899-12-30T19:05:00.000Z,0,0,,Arad,RO,EET,46.191344762816,21.3249166148997,1,,,Arad,Arad,,station,,,9553124517,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:1,ATC IR 11500,1,Timişoara Nord,,1899-12-30T20:41:00.000Z,0,0,,Timişoara Nord,RO,EET,45.7509027163527,21.2080466012073,1,,,Timişoara,Timişoara,,RO_standard,"0,30 €",,,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:2,ATC IR 11500,2,Lugoj,,1899-12-30T22:07:00.000Z,0,0,,Lugoj,RO,EET,45.6798652,21.8966684,1,,,,,,station,,,8035687527,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:3,ATC IR 11500,3,Caransebeș,,1899-12-30T23:08:00.000Z,0,0,,Caransebeș,RO,EET,45.4200172,22.195224,1,,,,,,station,,,7640211606,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:4,ATC IR 11500,4,Craiova,1899-12-30T03:35:00.000Z,,0,0,,Craiova,RO,EET,44.327085,23.822089,1,,,Craiova,Craiova,,station,,,775583905,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:5,ATC IR 11500,5,Caracal,1899-12-30T04:29:00.000Z,,0,0,,Caracal,RO,EET,44.1195224,24.36465,1,,,,,,station,,,5214080729,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:6,ATC IR 11500,6,Roșiori Nord,1899-12-30T05:40:00.000Z,,0,0,,Roșiori Nord,RO,EET,44.1233667,24.9788917,1,,,,,,station,,,467282097,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
ATC IR 11500:7,ATC IR 11500,7,Videle,1899-12-30T06:40:00.000Z,,0,0,,Videle,RO,EET,44.2841351,25.5378458,1,,,,,,station,,,775583706,,24.0,ATC,Arad,1899-12-30T19:05:00.000Z,București Nord,1899-12-30T07:29:00.000Z,IR 11500,1.0,,RO,Y,Extends to Constanta from 2026/06/11 to 09/07,2026: Daily,"seat, couchette, sleeper",,0,1,2,2,2,1899-12-30T12:24:00.000Z,604,14,23.17880794701987,Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle,#N/A,ATC,ATC,,,IR 11501 = IR 11500,,IR 11501: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad // IR 11500: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord,2,,Y,București,Arad,604,14,"seat, couchette, sleeper",RO,https://www.astratranscarpatic.ro/,,,
